[INFO ] 2018-11-26 00:03:12.443 [main] PerformanceApplication - Starting PerformanceApplication on DESKTOP-ARDD860 with PID 11000 (C:\Users\irley\workspace\performance-analysis\target\classes started by irley in C:\Users\irley\workspace\performance-analysis)
[INFO ] 2018-11-26 00:03:12.445 [main] PerformanceApplication - No active profile set, falling back to default profiles: default
[INFO ] 2018-11-26 00:03:14.651 [main] PerformanceApplication - Started PerformanceApplication in 2.682 seconds (JVM running for 4.371)
[INFO ] 2018-11-26 00:04:59.444 [http-nio-8084-exec-1] AnalysisController - Entrada: 00:04:57:04, Saída: 00:04:59:04, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:04:59.465 [http-nio-8084-exec-2] AnalysisController - Entrada: 00:04:57:04, Saída: 00:04:59:04, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:04:59.565 [http-nio-8084-exec-3] AnalysisController - Entrada: 00:04:57:04, Saída: 00:04:59:04, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:04:59.664 [http-nio-8084-exec-4] AnalysisController - Entrada: 00:04:57:04, Saída: 00:04:59:04, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:04:59.763 [http-nio-8084-exec-5] AnalysisController - Entrada: 00:04:57:04, Saída: 00:04:59:04, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:04:59.864 [http-nio-8084-exec-6] AnalysisController - Entrada: 00:04:57:04, Saída: 00:04:59:04, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:04:59.965 [http-nio-8084-exec-7] AnalysisController - Entrada: 00:04:57:04, Saída: 00:04:59:04, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:00.063 [http-nio-8084-exec-8] AnalysisController - Entrada: 00:04:58:04, Saída: 00:05:00:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:00.163 [http-nio-8084-exec-9] AnalysisController - Entrada: 00:04:58:04, Saída: 00:05:00:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:00.262 [http-nio-8084-exec-10] AnalysisController - Entrada: 00:04:58:04, Saída: 00:05:00:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:01.524 [http-nio-8084-exec-11] AnalysisController - Entrada: 00:05:01:05, Saída: 00:05:01:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:01.524 [http-nio-8084-exec-12] AnalysisController - Entrada: 00:04:59:04, Saída: 00:05:01:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:01.576 [http-nio-8084-exec-1] AnalysisController - Entrada: 00:04:59:04, Saída: 00:05:01:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:01.677 [http-nio-8084-exec-2] AnalysisController - Entrada: 00:04:59:04, Saída: 00:05:01:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:01.773 [http-nio-8084-exec-3] AnalysisController - Entrada: 00:04:59:04, Saída: 00:05:01:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:01.877 [http-nio-8084-exec-4] AnalysisController - Entrada: 00:04:59:04, Saída: 00:05:01:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:01.975 [http-nio-8084-exec-5] AnalysisController - Entrada: 00:04:59:04, Saída: 00:05:01:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:02.066 [http-nio-8084-exec-7] AnalysisController - Entrada: 00:05:00:05, Saída: 00:05:02:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:02.167 [http-nio-8084-exec-8] AnalysisController - Entrada: 00:05:00:05, Saída: 00:05:02:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:02.266 [http-nio-8084-exec-9] AnalysisController - Entrada: 00:05:00:05, Saída: 00:05:02:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:03.539 [http-nio-8084-exec-10] AnalysisController - Entrada: 00:05:01:05, Saída: 00:05:03:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:03.542 [http-nio-8084-exec-6] AnalysisController - Entrada: 00:05:01:05, Saída: 00:05:03:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:03.582 [http-nio-8084-exec-11] AnalysisController - Entrada: 00:05:01:05, Saída: 00:05:03:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:03.688 [http-nio-8084-exec-1] AnalysisController - Entrada: 00:05:01:05, Saída: 00:05:03:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:03.778 [http-nio-8084-exec-2] AnalysisController - Entrada: 00:05:01:05, Saída: 00:05:03:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:03.881 [http-nio-8084-exec-3] AnalysisController - Entrada: 00:05:01:05, Saída: 00:05:03:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:03.984 [http-nio-8084-exec-4] AnalysisController - Entrada: 00:05:01:05, Saída: 00:05:03:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:04.078 [http-nio-8084-exec-5] AnalysisController - Entrada: 00:05:02:05, Saída: 00:05:04:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:04.178 [http-nio-8084-exec-7] AnalysisController - Entrada: 00:05:02:05, Saída: 00:05:04:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:04.275 [http-nio-8084-exec-12] AnalysisController - Entrada: 00:05:02:05, Saída: 00:05:04:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:05.554 [http-nio-8084-exec-9] AnalysisController - Entrada: 00:05:03:05, Saída: 00:05:05:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:05.554 [http-nio-8084-exec-8] AnalysisController - Entrada: 00:05:03:05, Saída: 00:05:05:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:05.588 [http-nio-8084-exec-10] AnalysisController - Entrada: 00:05:03:05, Saída: 00:05:05:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:05.696 [http-nio-8084-exec-6] AnalysisController - Entrada: 00:05:03:05, Saída: 00:05:05:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:05.787 [http-nio-8084-exec-11] AnalysisController - Entrada: 00:05:03:05, Saída: 00:05:05:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:05.889 [http-nio-8084-exec-1] AnalysisController - Entrada: 00:05:03:05, Saída: 00:05:05:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:05.996 [http-nio-8084-exec-3] AnalysisController - Entrada: 00:05:03:05, Saída: 00:05:05:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:06.085 [http-nio-8084-exec-4] AnalysisController - Entrada: 00:05:04:05, Saída: 00:05:06:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:06.185 [http-nio-8084-exec-2] AnalysisController - Entrada: 00:05:04:05, Saída: 00:05:06:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:06.283 [http-nio-8084-exec-5] AnalysisController - Entrada: 00:05:04:05, Saída: 00:05:06:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:07.563 [http-nio-8084-exec-8] AnalysisController - Entrada: 00:05:05:05, Saída: 00:05:07:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:07.563 [http-nio-8084-exec-7] AnalysisController - Entrada: 00:05:05:05, Saída: 00:05:07:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:07.596 [http-nio-8084-exec-12] AnalysisController - Entrada: 00:05:05:05, Saída: 00:05:07:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:07.705 [http-nio-8084-exec-9] AnalysisController - Entrada: 00:05:05:05, Saída: 00:05:07:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:07.796 [http-nio-8084-exec-10] AnalysisController - Entrada: 00:05:05:05, Saída: 00:05:07:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:07.897 [http-nio-8084-exec-6] AnalysisController - Entrada: 00:05:05:05, Saída: 00:05:07:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:08.008 [http-nio-8084-exec-1] AnalysisController - Entrada: 00:05:06:05, Saída: 00:05:08:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:08.093 [http-nio-8084-exec-3] AnalysisController - Entrada: 00:05:06:05, Saída: 00:05:08:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:08.197 [http-nio-8084-exec-4] AnalysisController - Entrada: 00:05:06:05, Saída: 00:05:08:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:08.287 [http-nio-8084-exec-11] AnalysisController - Entrada: 00:05:06:05, Saída: 00:05:08:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:09.572 [http-nio-8084-exec-5] AnalysisController - Entrada: 00:05:07:05, Saída: 00:05:09:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:09.573 [http-nio-8084-exec-2] AnalysisController - Entrada: 00:05:07:05, Saída: 00:05:09:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:09.604 [http-nio-8084-exec-7] AnalysisController - Entrada: 00:05:07:05, Saída: 00:05:09:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:09.714 [http-nio-8084-exec-8] AnalysisController - Entrada: 00:05:07:05, Saída: 00:05:09:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:09.803 [http-nio-8084-exec-9] AnalysisController - Entrada: 00:05:07:05, Saída: 00:05:09:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:09.905 [http-nio-8084-exec-10] AnalysisController - Entrada: 00:05:07:05, Saída: 00:05:09:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:10.021 [http-nio-8084-exec-1] AnalysisController - Entrada: 00:05:08:05, Saída: 00:05:10:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:10.102 [http-nio-8084-exec-6] AnalysisController - Entrada: 00:05:08:05, Saída: 00:05:10:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:10.205 [http-nio-8084-exec-12] AnalysisController - Entrada: 00:05:08:05, Saída: 00:05:10:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:10.294 [http-nio-8084-exec-3] AnalysisController - Entrada: 00:05:08:05, Saída: 00:05:10:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:11.585 [http-nio-8084-exec-4] AnalysisController - Entrada: 00:05:09:05, Saída: 00:05:11:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:11.585 [http-nio-8084-exec-5] AnalysisController - Entrada: 00:05:09:05, Saída: 00:05:11:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:11.612 [http-nio-8084-exec-11] AnalysisController - Entrada: 00:05:09:05, Saída: 00:05:11:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:11.724 [http-nio-8084-exec-7] AnalysisController - Entrada: 00:05:09:05, Saída: 00:05:11:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:11.811 [http-nio-8084-exec-2] AnalysisController - Entrada: 00:05:09:05, Saída: 00:05:11:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:11.913 [http-nio-8084-exec-9] AnalysisController - Entrada: 00:05:09:05, Saída: 00:05:11:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:12.032 [http-nio-8084-exec-10] AnalysisController - Entrada: 00:05:10:05, Saída: 00:05:12:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:12.111 [http-nio-8084-exec-1] AnalysisController - Entrada: 00:05:10:05, Saída: 00:05:12:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:12.216 [http-nio-8084-exec-6] AnalysisController - Entrada: 00:05:10:05, Saída: 00:05:12:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:12.301 [http-nio-8084-exec-8] AnalysisController - Entrada: 00:05:10:05, Saída: 00:05:12:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:13.598 [http-nio-8084-exec-12] AnalysisController - Entrada: 00:05:11:05, Saída: 00:05:13:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:13.599 [http-nio-8084-exec-3] AnalysisController - Entrada: 00:05:11:05, Saída: 00:05:13:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:13.617 [http-nio-8084-exec-5] AnalysisController - Entrada: 00:05:11:05, Saída: 00:05:13:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:13.732 [http-nio-8084-exec-11] AnalysisController - Entrada: 00:05:11:05, Saída: 00:05:13:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:13.821 [http-nio-8084-exec-7] AnalysisController - Entrada: 00:05:11:05, Saída: 00:05:13:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:13.922 [http-nio-8084-exec-4] AnalysisController - Entrada: 00:05:11:05, Saída: 00:05:13:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:14.039 [http-nio-8084-exec-2] AnalysisController - Entrada: 00:05:12:05, Saída: 00:05:14:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:14.119 [http-nio-8084-exec-10] AnalysisController - Entrada: 00:05:12:05, Saída: 00:05:14:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:14.222 [http-nio-8084-exec-9] AnalysisController - Entrada: 00:05:12:05, Saída: 00:05:14:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:14.312 [http-nio-8084-exec-1] AnalysisController - Entrada: 00:05:12:05, Saída: 00:05:14:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:15.614 [http-nio-8084-exec-6] AnalysisController - Entrada: 00:05:13:05, Saída: 00:05:15:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:15.615 [http-nio-8084-exec-12] AnalysisController - Entrada: 00:05:13:05, Saída: 00:05:15:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:15.626 [http-nio-8084-exec-8] AnalysisController - Entrada: 00:05:13:05, Saída: 00:05:15:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:15.741 [http-nio-8084-exec-3] AnalysisController - Entrada: 00:05:13:05, Saída: 00:05:15:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:15.829 [http-nio-8084-exec-11] AnalysisController - Entrada: 00:05:13:05, Saída: 00:05:15:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:15.945 [http-nio-8084-exec-7] AnalysisController - Entrada: 00:05:13:05, Saída: 00:05:15:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:16.048 [http-nio-8084-exec-5] AnalysisController - Entrada: 00:05:14:05, Saída: 00:05:16:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:16.123 [http-nio-8084-exec-4] AnalysisController - Entrada: 00:05:14:05, Saída: 00:05:16:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:16.226 [http-nio-8084-exec-2] AnalysisController - Entrada: 00:05:14:05, Saída: 00:05:16:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:16.321 [http-nio-8084-exec-10] AnalysisController - Entrada: 00:05:14:05, Saída: 00:05:16:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:17.626 [http-nio-8084-exec-1] AnalysisController - Entrada: 00:05:15:05, Saída: 00:05:17:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:17.628 [http-nio-8084-exec-9] AnalysisController - Entrada: 00:05:15:05, Saída: 00:05:17:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:17.634 [http-nio-8084-exec-12] AnalysisController - Entrada: 00:05:15:05, Saída: 00:05:17:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:17.749 [http-nio-8084-exec-8] AnalysisController - Entrada: 00:05:15:05, Saída: 00:05:17:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:17.836 [http-nio-8084-exec-6] AnalysisController - Entrada: 00:05:15:05, Saída: 00:05:17:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:17.955 [http-nio-8084-exec-3] AnalysisController - Entrada: 00:05:15:05, Saída: 00:05:17:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:18.051 [http-nio-8084-exec-7] AnalysisController - Entrada: 00:05:16:05, Saída: 00:05:18:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:18.130 [http-nio-8084-exec-11] AnalysisController - Entrada: 00:05:16:05, Saída: 00:05:18:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:18.232 [http-nio-8084-exec-5] AnalysisController - Entrada: 00:05:16:05, Saída: 00:05:18:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:18.326 [http-nio-8084-exec-2] AnalysisController - Entrada: 00:05:16:05, Saída: 00:05:18:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:19.634 [http-nio-8084-exec-10] AnalysisController - Entrada: 00:05:17:05, Saída: 00:05:19:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:19.641 [http-nio-8084-exec-4] AnalysisController - Entrada: 00:05:17:05, Saída: 00:05:19:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:19.643 [http-nio-8084-exec-9] AnalysisController - Entrada: 00:05:17:05, Saída: 00:05:19:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:19.758 [http-nio-8084-exec-12] AnalysisController - Entrada: 00:05:17:05, Saída: 00:05:19:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:19.858 [http-nio-8084-exec-8] AnalysisController - Entrada: 00:05:17:05, Saída: 00:05:19:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:19.992 [http-nio-8084-exec-1] AnalysisController - Entrada: 00:05:17:05, Saída: 00:05:19:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:20.062 [http-nio-8084-exec-3] AnalysisController - Entrada: 00:05:18:05, Saída: 00:05:20:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:20.136 [http-nio-8084-exec-6] AnalysisController - Entrada: 00:05:18:05, Saída: 00:05:20:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:20.237 [http-nio-8084-exec-7] AnalysisController - Entrada: 00:05:18:05, Saída: 00:05:20:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:20.333 [http-nio-8084-exec-11] AnalysisController - Entrada: 00:05:18:05, Saída: 00:05:20:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:21.642 [http-nio-8084-exec-5] AnalysisController - Entrada: 00:05:19:05, Saída: 00:05:21:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:21.649 [http-nio-8084-exec-2] AnalysisController - Entrada: 00:05:19:05, Saída: 00:05:21:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:21.652 [http-nio-8084-exec-10] AnalysisController - Entrada: 00:05:19:05, Saída: 00:05:21:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:21.764 [http-nio-8084-exec-4] AnalysisController - Entrada: 00:05:19:05, Saída: 00:05:21:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:21.865 [http-nio-8084-exec-9] AnalysisController - Entrada: 00:05:19:05, Saída: 00:05:21:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:22.001 [http-nio-8084-exec-12] AnalysisController - Entrada: 00:05:19:05, Saída: 00:05:22:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:22.067 [http-nio-8084-exec-8] AnalysisController - Entrada: 00:05:20:05, Saída: 00:05:22:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:22.144 [http-nio-8084-exec-1] AnalysisController - Entrada: 00:05:20:05, Saída: 00:05:22:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:22.242 [http-nio-8084-exec-3] AnalysisController - Entrada: 00:05:20:05, Saída: 00:05:22:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:22.338 [http-nio-8084-exec-6] AnalysisController - Entrada: 00:05:20:05, Saída: 00:05:22:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:23.649 [http-nio-8084-exec-7] AnalysisController - Entrada: 00:05:21:05, Saída: 00:05:23:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:23.658 [http-nio-8084-exec-5] AnalysisController - Entrada: 00:05:21:05, Saída: 00:05:23:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:23.661 [http-nio-8084-exec-11] AnalysisController - Entrada: 00:05:21:05, Saída: 00:05:23:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:23.771 [http-nio-8084-exec-10] AnalysisController - Entrada: 00:05:21:05, Saída: 00:05:23:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:23.871 [http-nio-8084-exec-2] AnalysisController - Entrada: 00:05:21:05, Saída: 00:05:23:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:24.009 [http-nio-8084-exec-4] AnalysisController - Entrada: 00:05:22:05, Saída: 00:05:24:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:24.075 [http-nio-8084-exec-12] AnalysisController - Entrada: 00:05:22:05, Saída: 00:05:24:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:24.153 [http-nio-8084-exec-8] AnalysisController - Entrada: 00:05:22:05, Saída: 00:05:24:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:24.246 [http-nio-8084-exec-9] AnalysisController - Entrada: 00:05:22:05, Saída: 00:05:24:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:24.345 [http-nio-8084-exec-1] AnalysisController - Entrada: 00:05:22:05, Saída: 00:05:24:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:25.655 [http-nio-8084-exec-3] AnalysisController - Entrada: 00:05:23:05, Saída: 00:05:25:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:25.665 [http-nio-8084-exec-6] AnalysisController - Entrada: 00:05:23:05, Saída: 00:05:25:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:25.669 [http-nio-8084-exec-7] AnalysisController - Entrada: 00:05:23:05, Saída: 00:05:25:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:25.777 [http-nio-8084-exec-11] AnalysisController - Entrada: 00:05:23:05, Saída: 00:05:25:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:25.877 [http-nio-8084-exec-5] AnalysisController - Entrada: 00:05:23:05, Saída: 00:05:25:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:26.016 [http-nio-8084-exec-10] AnalysisController - Entrada: 00:05:24:05, Saída: 00:05:26:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:26.082 [http-nio-8084-exec-2] AnalysisController - Entrada: 00:05:24:05, Saída: 00:05:26:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:26.162 [http-nio-8084-exec-12] AnalysisController - Entrada: 00:05:24:05, Saída: 00:05:26:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:26.250 [http-nio-8084-exec-8] AnalysisController - Entrada: 00:05:24:05, Saída: 00:05:26:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:26.351 [http-nio-8084-exec-4] AnalysisController - Entrada: 00:05:24:05, Saída: 00:05:26:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:27.662 [http-nio-8084-exec-9] AnalysisController - Entrada: 00:05:25:05, Saída: 00:05:27:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:27.671 [http-nio-8084-exec-1] AnalysisController - Entrada: 00:05:25:05, Saída: 00:05:27:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:27.676 [http-nio-8084-exec-3] AnalysisController - Entrada: 00:05:25:05, Saída: 00:05:27:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:27.783 [http-nio-8084-exec-6] AnalysisController - Entrada: 00:05:25:05, Saída: 00:05:27:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:27.880 [http-nio-8084-exec-7] AnalysisController - Entrada: 00:05:25:05, Saída: 00:05:27:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:28.019 [http-nio-8084-exec-11] AnalysisController - Entrada: 00:05:26:05, Saída: 00:05:28:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:28.092 [http-nio-8084-exec-5] AnalysisController - Entrada: 00:05:26:05, Saída: 00:05:28:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:28.169 [http-nio-8084-exec-10] AnalysisController - Entrada: 00:05:26:05, Saída: 00:05:28:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:28.254 [http-nio-8084-exec-2] AnalysisController - Entrada: 00:05:26:05, Saída: 00:05:28:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:28.359 [http-nio-8084-exec-12] AnalysisController - Entrada: 00:05:26:05, Saída: 00:05:28:05, Tempo Serviço: 00:00:02:00
[INFO ] 2018-11-26 00:05:29.676 [http-nio-8084-exec-8] AnalysisController - Entrada: 00:05:27:05, Saída: 00:05:29:05, Tempo Serviço: 00:00:02:00
